Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active
,Afghanistan,13-12-20 05:27,48229,1956,38200,8073
,Albania,13-12-20 05:27,47742,989,24520,22233
,Algeria,13-12-20 05:27,91638,2584,60028,29026
,Andorra,13-12-20 05:27,7288,78,6629,581
,Angola,13-12-20 05:27,16161,366,8841,6954
,Antigua and Barbuda,13-12-20 05:27,148,4,138,6
,Argentina,13-12-20 05:27,1494602,40668,1330160,123774
,Armenia,13-12-20 05:27,147312,2462,124521,20329
Australian Capital Territory,Australia,13-12-20 05:27,117,3,114,0
New South Wales,Australia,13-12-20 05:27,4642,53,3191,1398
Northern Territory,Australia,13-12-20 05:27,62,0,52,10
Queensland,Australia,13-12-20 05:27,1226,6,1202,18
South Australia,Australia,13-12-20 05:27,562,4,558,0
Tasmania,Australia,13-12-20 05:27,234,13,217,4
Victoria,Australia,13-12-20 05:27,20351,820,19525,6
Western Australia,Australia,13-12-20 05:27,836,9,816,11
,Austria,13-12-20 05:27,319822,4415,277883,37524
,Azerbaijan,13-12-20 05:27,171423,1883,107635,61905
,Bahamas,13-12-20 05:27,7648,163,6043,1442
,Bahrain,13-12-20 05:27,88965,348,87025,1592
,Bangladesh,13-12-20 05:27,489178,7020,417503,64655
,Barbados,13-12-20 05:27,292,7,269,16
,Belarus,13-12-20 05:27,158334,1254,135922,21158
Antwerp,Belgium,13-12-20 05:27,71827,0,0,71827
Brussels,Belgium,13-12-20 05:27,78384,0,0,78384
East Flanders,Belgium,13-12-20 05:27,58025,0,0,58025
Flemish Brabant,Belgium,13-12-20 05:27,46136,0,0,46136
Hainaut,Belgium,13-12-20 05:27,96715,0,0,96715
Liege,Belgium,13-12-20 05:27,93672,0,0,93672
Limburg,Belgium,13-12-20 05:27,26003,0,0,26003
Luxembourg,Belgium,13-12-20 05:27,17211,0,0,17211
Namur,Belgium,13-12-20 05:27,33442,0,0,33442
Unknown,Belgium,13-12-20 05:27,9935,17792,0,-7857
Walloon Brabant,Belgium,13-12-20 05:27,23902,0,0,23902
West Flanders,Belgium,13-12-20 05:27,47907,0,0,47907
,Belize,13-12-20 05:27,9173,192,4279,4702
,Benin,13-12-20 05:27,3090,44,2972,74
,Bhutan,13-12-20 05:27,437,0,400,37
,Bolivia,13-12-20 05:27,147030,9014,126092,11924
,Bosnia and Herzegovina,13-12-20 05:27,100306,3298,65289,31719
,Botswana,13-12-20 05:27,12501,37,9940,2524
Acre,Brazil,13-12-20 05:27,38363,749,32536,5078
Alagoas,Brazil,13-12-20 05:27,98177,2372,93519,2286
Amapa,Brazil,13-12-20 05:27,63042,849,48386,13807
Amazonas,Brazil,13-12-20 05:27,186274,4998,158846,22430
Bahia,Brazil,13-12-20 05:27,443465,8589,419448,15428
Ceara,Brazil,13-12-20 05:27,314674,9774,257263,47637
Distrito Federal,Brazil,13-12-20 05:27,238634,4059,226300,8275
Espirito Santo,Brazil,13-12-20 05:27,211992,4559,193721,13712
Goias,Brazil,13-12-20 05:27,292689,6534,281538,4617
Maranhao,Brazil,13-12-20 05:27,197006,4375,187984,4647
Mato Grosso,Brazil,13-12-20 05:27,165871,4194,157600,4077
Mato Grosso do Sul,Brazil,13-12-20 05:27,112876,1913,95302,15661
Minas Gerais,Brazil,13-12-20 05:27,464545,10645,416183,37717
Para,Brazil,13-12-20 05:27,279600,6989,260763,11848
Paraiba,Brazil,13-12-20 05:27,153556,3430,119971,30155
Parana,Brazil,13-12-20 05:27,327299,6760,227791,92748
Pernambuco,Brazil,13-12-20 05:27,198426,9271,171535,17620
Piaui,Brazil,13-12-20 05:27,134429,2720,131274,435
Rio Grande do Norte,Brazil,13-12-20 05:27,102846,2790,48821,51235
Rio Grande do Sul,Brazil,13-12-20 05:27,372699,7578,341444,23677
Rio de Janeiro,Brazil,13-12-20 05:27,388431,23718,353207,11506
Rondonia,Brazil,13-12-20 05:27,85410,1638,74621,9151
Roraima,Brazil,13-12-20 05:27,66221,755,61934,3532
Santa Catarina,Brazil,13-12-20 05:27,426095,4334,388872,32889
Sao Paulo,Brazil,13-12-20 05:27,1333763,43971,1166823,122969
Sergipe,Brazil,13-12-20 05:27,98472,2361,86601,9510
Tocantins,Brazil,13-12-20 05:27,85272,1198,76004,8070
,Brunei,13-12-20 05:27,152,3,147,2
,Bulgaria,13-12-20 05:27,178952,5626,81757,91569
,Burkina Faso,13-12-20 05:27,3894,71,2858,965
,Burma,13-12-20 05:27,107215,2245,85406,19564
,Burundi,13-12-20 05:27,728,1,640,87
,Cabo Verde,13-12-20 05:27,11302,110,10922,270
,Cambodia,13-12-20 05:27,359,0,307,52
,Cameroon,13-12-20 05:27,25143,443,23851,849
Alberta,Canada,13-12-20 05:27,78382,697,57613,20072
British Columbia,Canada,13-12-20 05:27,40797,598,29598,10601
Diamond Princess,Canada,13-12-20 05:27,0,1,0,
Grand Princess,Canada,13-12-20 05:27,13,0,13,0
Manitoba,Canada,13-12-20 05:27,20750,483,14637,5630
New Brunswick,Canada,13-12-20 05:27,555,8,475,72
Newfoundland and Labrador,Canada,13-12-20 05:27,358,4,331,23
Northwest Territories,Canada,13-12-20 05:27,20,0,15,5
Nova Scotia,Canada,13-12-20 05:27,1409,65,1283,61
Nunavut,Canada,13-12-20 05:27,247,0,197,50
Ontario,Canada,13-12-20 05:27,142171,3949,123761,14461
Prince Edward Island,Canada,13-12-20 05:27,84,0,72,12
Quebec,Canada,13-12-20 05:27,161921,7475,138270,16176
Repatriated Travellers,Canada,13-12-20 05:27,13,0,13,0
Saskatchewan,Canada,13-12-20 05:27,11749,86,7566,4097
Yukon,Canada,13-12-20 05:27,58,1,54,3
,Central African Republic,13-12-20 05:27,4936,63,1924,2949
,Chad,13-12-20 05:27,1751,102,1603,46
Antofagasta,Chile,13-12-20 05:27,22526,571,21727,228
Araucania,Chile,13-12-20 05:27,19518,260,18300,958
Arica y Parinacota,Chile,13-12-20 05:27,10404,214,10057,133
Atacama,Chile,13-12-20 05:27,8261,108,8098,55
Aysen,Chile,13-12-20 05:27,1327,15,1274,38
Biobio,Chile,13-12-20 05:27,40373,669,37445,2259
Coquimbo,Chile,13-12-20 05:27,13464,277,13004,183
Los Lagos,Chile,13-12-20 05:27,22346,226,21184,936
Los Rios,Chile,13-12-20 05:27,7087,66,6476,545
Magallanes,Chile,13-12-20 05:27,15388,215,14649,524
Maule,Chile,13-12-20 05:27,22055,512,20891,652
Metropolitana,Chile,13-12-20 05:27,309491,10517,296146,2828
Nuble,Chile,13-12-20 05:27,9422,189,8868,365
OHiggins,Chile,13-12-20 05:27,20416,562,19533,321
Tarapaca,Chile,13-12-20 05:27,14238,263,13750,225
Unknown,Chile,13-12-20 05:27,45,1,45,
Valparaiso,Chile,13-12-20 05:27,33420,1181,31639,600
Anhui,China,13-12-20 05:27,992,6,986,0
Beijing,China,13-12-20 05:27,954,9,940,5
Chongqing,China,13-12-20 05:27,590,6,583,1
Fujian,China,13-12-20 05:27,502,1,460,41
Gansu,China,13-12-20 05:27,182,2,180,0
Guangdong,China,13-12-20 05:27,2016,8,1972,36
Guangxi,China,13-12-20 05:27,264,2,261,1
Guizhou,China,13-12-20 05:27,147,2,145,0
Hainan,China,13-12-20 05:27,171,6,165,0
Hebei,China,13-12-20 05:27,373,6,367,0
Heilongjiang,China,13-12-20 05:27,956,13,936,7
Henan,China,13-12-20 05:27,1295,22,1266,7
Hong Kong,China,13-12-20 05:27,7446,115,6114,1217
Hubei,China,13-12-20 05:27,68149,4512,63636,1
Hunan,China,13-12-20 05:27,1020,4,1016,0
Inner Mongolia,China,13-12-20 05:27,337,1,313,23
Jiangsu,China,13-12-20 05:27,684,0,675,9
Jiangxi,China,13-12-20 05:27,935,1,934,0
Jilin,China,13-12-20 05:27,157,2,155,0
Liaoning,China,13-12-20 05:27,289,2,287,0
Macau,China,13-12-20 05:27,46,0,46,0
Ningxia,China,13-12-20 05:27,75,0,75,0
Qinghai,China,13-12-20 05:27,18,0,18,0
Shaanxi,China,13-12-20 05:27,502,3,481,18
Shandong,China,13-12-20 05:27,858,7,841,10
Shanghai,China,13-12-20 05:27,1405,7,1309,89
Shanxi,China,13-12-20 05:27,222,0,218,4
Sichuan,China,13-12-20 05:27,829,3,792,34
Tianjin,China,13-12-20 05:27,302,3,295,4
Tibet,China,13-12-20 05:27,1,0,1,0
Xinjiang,China,13-12-20 05:27,980,3,977,0
Yunnan,China,13-12-20 05:27,224,2,210,12
Zhejiang,China,13-12-20 05:27,1296,1,1290,5
Amazonas,Colombia,13-12-20 05:27,3174,123,3033,18
Antioquia,Colombia,13-12-20 05:27,228441,4318,213115,11008
Arauca,Colombia,13-12-20 05:27,4340,125,4042,173
Atlantico,Colombia,13-12-20 05:27,82113,3262,76967,1884
Bolivar,Colombia,13-12-20 05:27,42717,970,40277,1470
Boyaca,Colombia,13-12-20 05:27,24128,526,22111,1491
Caldas,Colombia,13-12-20 05:27,27853,535,25594,1724
Capital District,Colombia,13-12-20 05:27,403145,8880,371802,22463
Caqueta,Colombia,13-12-20 05:27,13880,494,12664,722
Casanare,Colombia,13-12-20 05:27,7695,158,7192,345
Cauca,Colombia,13-12-20 05:27,16655,463,15167,1025
Cesar,Colombia,13-12-20 05:27,31025,939,28544,1542
Choco,Colombia,13-12-20 05:27,4614,166,4344,104
Cordoba,Colombia,13-12-20 05:27,28743,1659,26096,988
Cundinamarca,Colombia,13-12-20 05:27,56837,1502,52770,2565
Guainia,Colombia,13-12-20 05:27,1217,19,1190,8
Guaviare,Colombia,13-12-20 05:27,1882,34,1837,11
Huila,Colombia,13-12-20 05:27,31705,1026,29909,770
La Guajira,Colombia,13-12-20 05:27,12787,503,11842,442
Magdalena,Colombia,13-12-20 05:27,21733,995,19909,829
Meta,Colombia,13-12-20 05:27,30008,667,28539,802
Narino,Colombia,13-12-20 05:27,27050,885,24791,1374
Norte de Santander,Colombia,13-12-20 05:27,32898,1565,29546,1787
Putumayo,Colombia,13-12-20 05:27,5250,232,4726,292
Quindio,Colombia,13-12-20 05:27,19347,523,17718,1106
Risaralda,Colombia,13-12-20 05:27,26168,629,23893,1646
San Andres y Providencia,Colombia,13-12-20 05:27,2345,36,2244,65
Santander,Colombia,13-12-20 05:27,57940,2130,52404,3406
Sucre,Colombia,13-12-20 05:27,16873,664,15768,441
Tolima,Colombia,13-12-20 05:27,33583,1024,31157,1402
Unknown,Colombia,13-12-20 05:27,0,0,0,0
Valle del Cauca,Colombia,13-12-20 05:27,118737,3790,109095,5852
Vaupes,Colombia,13-12-20 05:27,1124,12,1106,6
Vichada,Colombia,13-12-20 05:27,1065,12,1033,20
,Comoros,13-12-20 05:27,628,7,606,15
,Congo (Brazzaville),13-12-20 05:27,6049,99,4988,962
,Congo (Kinshasa),13-12-20 05:27,14342,352,12465,1525
,Costa Rica,13-12-20 05:27,150947,1895,112622,36430
,Cote d'Ivoire,13-12-20 05:27,21639,133,21261,245
,Croatia,13-12-20 05:27,172523,2562,144691,25270
,Cuba,13-12-20 05:27,9354,137,8371,846
,Cyprus,13-12-20 05:27,14476,75,2057,12344
,Czechia,13-12-20 05:27,575422,9450,503017,62955
Faroe Islands,Denmark,13-12-20 05:27,525,0,506,19
Greenland,Denmark,13-12-20 05:27,19,0,18,1
,Denmark,13-12-20 05:27,107116,935,78236,27945
,Diamond Princess,13-12-20 05:27,712,13,699,0
,Djibouti,13-12-20 05:27,5725,61,5612,52
